0,6,0,0,0,3,yellow,2,img060003yellow.png
1,2,0,0,4,2,blue,2,img120042blue.png
6,0,0,0,0,3,red,2,img600003red.png
0,4,0,2,1,2,green,2,img040212green.png
3,0,5,0,0,2,purple,2,img305002purple.png
2,0,3,0,2,1,yellow,2,img203021yellow.png
0,3,3,0,2,1,purple,2,img033021purple.png
2,2,0,0,3,1,red,2,img220031red.png
2,0,4,1,0,2,purple,2,img204102purple.png
5,0,0,0,0,2,yellow,2,img500002yellow.png
3,3,2,0,0,1,green,2,img332001green.png
4,0,1,0,2,2,yellow,2,img401022yellow.png
0,0,0,6,0,3,blue,2,img000603blue.png
0,1,2,4,0,2,red,2,img012402red.png
0,2,0,3,2,1,green,2,img020321green.png
0,3,2,2,0,1,purple,2,img032201purple.png
0,5,0,0,0,2,purple,2,img050002purple.png
0,0,3,2,3,1,blue,2,img003231blue.png
3,2,0,3,0,1,yellow,2,img320301yellow.png
2,0,0,3,3,1,red,2,img200331red.png
2,3,0,0,5,2,red,2,img230052red.png
0,0,5,0,0,2,green,2,img005002green.png
0,0,0,0,5,2,red,2,img000052red.png
0,0,0,5,0,2,blue,2,img000502blue.png
5,0,0,0,3,2,yellow,2,img500032yellow.png
0,0,0,0,6,3,purple,2,img000063purple.png
0,0,6,0,0,3,green,2,img006003green.png
0,5,0,3,0,2,blue,2,img050302blue.png
3,0,2,2,0,1,blue,2,img302201blue.png
0,0,3,5,0,2,green,2,img003502green.png
